Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,reply,policy
1849,10,0.0726,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",아무 도움이 안 되는데 ㅠㅠ,영아수당 지급
869,10,0.0726,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",돈이 없는 거겠지 돌려막기해서 나중엔 빚이 쌓이겠고,영아수당 지급
2014,10,0.0726,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",쓸데없는데 돈 ㅈㅣ랄 그만해라,영아수당 지급
1353,10,0.0726,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",젊은 얘들이 돈 만원이 없어서 취업을 안 하겠냐 생각을 하고 정책을 펼쳐라,영아수당 지급
1416,10,0.0726,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",지돈  아니라고   막퍼주는구나,영아수당 지급
1322,10,0.0726,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",이러니  더 일얀하지 멀쩡한데 세금 안내는놈들도 세금 내개해라 부모가 대신 내주던지,영아수당 지급
1687,10,0.0726,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",너무 영유아정책만 ㅜㅜ 난 세금만 내고 못 받네요,영아수당 지급
645,10,0.0726,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",제발 아무것도 하지마라 더이상,영아수당 지급
506,10,0.0726,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",저소득층인데 공무원도 혜택 보는건가요,영아수당 지급
1674,10,0.0726,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",출산후 산모한데 년동안 월만원씩 줘라 그러면 많은일이 해결된다,영아수당 지급
726,10,0.0726,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",똥칠 오질나게하네,영아수당 지급
1305,10,0.0726,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",이런  같은 책상정책 때려치고 생산적인 년 정책 만들어라,영아수당 지급
711,10,0.0726,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",어이 자슥아  대학등록금 민주당집권할때 배올려놓고는 반값등록금   헛웃음이나온다,영아수당 지급
1642,10,0.0726,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",소득에 따라 지급하는 거면 공무원이나 혜택을 보는거 아닌가 일정 소득 이상 가구면 애 낳지 말란거냐 애는 소득이 낮거나 공무원만 낳으라는 건가  맞벌이이고 아이봐야하는 사정은 같은데 소득따라 지급해버리면  지원도 못받고 세금만 내라는 거냐 부모님이 멀리 살거나 편찮은 사람은 못받는 거지 같은 정책 아니냐,영아수당 지급
